,cos_tr,cos_te,c,parsed_body_ans
207,,,,"i tried increasing the linewidth to 1000, which filled the entire plot area hiding everything under it. you won't be able to analyze any plot with the max-width. from matplotlib import pyplot as pltimport numpy as npxa = np.linspace(0, 5, 20)ya = xa**2plt.plot(xa, ya, color='lightcoral', linewidth=4, linestyle=':')ya = 3*xaplt.plot(xa, ya, color='#4b0082', linewidth=1000,         linestyle=(0, (5, 2, 1, 2)), dash_capstyle='round')plt.show()"
208,,,,"dear sir,please check the moodle and moodledata directory permission in your htdocs.if unother folder in same htdocs directory is working with static ip address please check your apache configuration.make sure php is working."
209,,,,
210,,,,installing the visual c++ redistributable for visual studio 2015 from the link given below may solve the problem.
211,,,,"add the foll tag in the <head> tag of your html:<link rel=""stylesheet"" href=""styles.css"">to link an external css file."
212,,,,"sorry, we don't have the expertise to answer this question."
213,,,,assessment for group assignments depend on group assignment settings defined by the teacher. the teacher may set it to give feedback to individual student or to the entire group. we will cover grading of group assignment in our future tutorials. you may want to check https://docs.moodle.org/33/en/assignment_settings#groups_submission_settings for details. 
214,,,,"#include<studio.h>void main(){  int n, square;  printf(""enter the value of n"");  scand(""%d"",&n);  square=n*n;  printf(""\n square=%d"", square);  getch();}*****output*****n=9square=81"
215,,,,"dear jayan,to begin with, pls note that camstudio will run only on windows os and not on linux os.  so, first of all pls check which is the os.next, to run camstudio on windows os after installation, pls click on start menu >> all programs >> camstudio. ordouble-click on the camstudio icon on your desktop.rgds,nancy varkey"
216,,,,"there are no rules as such for selecting the tmin and tmax. ideally, tmin and tmax should be the range over which the defined rate kinetics is valid."
217,,,,"   please download the file from the code files link and extract the file on to your desktop folder. check if you have bangalore.jpg file in the extracted folder. if yes, then open the qgis interface and click on the layer menu on the top, from the drop-down options select ""add layer"", from the sub-menu select ""add raster layer"" option. in the dialog box select the bangalore.jpg file. click on the ""open"" button at the bottom of the dialog box.bangalore.jpg map opens in the qgis canvas.please let me know if you have any issues."
218,,,,yes
219,,,,**kwargs are used for passing keyworded variable length of arguments to a function. 
220,,,,"#include<stdio.h>int main (){printf(""welcome to the world of c"");return 0;}when we don't use \n then the output will be welcome to the world of c"
221,,,,please explore bioconductor package in r - https://bioconductor.org/packages/release/bioc/vignettes/rcpi/inst/doc/rcpi.html
222,,,,"yes. there are a few points to be taken into consideration like the hardware, number of concurrent users etc.moodle docs:- performance         ->    https://docs.moodle.org/38/en/performance- performance faq ->    https://docs.moodle.org/38/en/performance_faqa dedicated moodle forum:- hardware and performance  ->  https://moodle.org/mod/forum/view.php?id=596some moodle forum posts related to this:- how much concurrent users does moodle support? ->  https://moodle.org/mod/forum/discuss.php?d=195631- hardware for 100 concurrent users                           ->  https://moodle.org/mod/forum/discuss.php?d=377871- finding max concurrent users of a server                 ->  https://moodle.org/mod/forum/discuss.php?d=397116- performance with 2500 concurrent users                  ->  https://moodle.org/mod/forum/discuss.php?d=385348other posts/discussions:- https://stackoverflow.com/questions/9741156/can-moodle-deal-with-more-than-100-000-users"
223,,,,"for a matrix a, type the following:a(1,:) = a(1,:)*3;a(2,:) = a(2,:)*4;det(a)"
224,,,,"kindly send us a screenshot of the error, please ensure that you upload the screenshot image to www.imgur.com and please past the link to the image in comments here.you can also simply copy paste the error that is displayed on the pc/system."
225,,,,"in scilab 6.1.0, the 'open' option is now changed to 'ok'."
226,,,,kindly go through the links. hope this solves your issue.http://www.bestpcsavior.com/how-to-fix-zlib-dll-missing-error-zlib-dll-error-repair-guide/http://stackoverflow.com/questions/25542055/mingw-c-compiler-zlib1-dll-missing-error
227,,,,"dear mr. k. karthik, this is with respect to your query, its possible for an organiser or any faculty member to attend workshop/ training by incorporating the organiser's name or interested faculty member's name in the participant's list (for availing learner's certificate) and physically he/she can be present and practice the tutorial during the training to conduct in your lab practical hours. similarly organiser or that interested faculty can register and take the particular online test too and once qualify, he/she will avail respective certificate too. hope i have cleared your doubt.a request: this query being non-technical and if you have any further doubt on this query, you can clear your doubts by contacting your state's spoken tutorial coordinator but if there is any other technical query/issues you face with audio - video tutorial, you may use the forum.thanks and regardsjessie velusamy"
228,,,,"by using switch case , assignment 7#include <stdio.h>void main (){int  a,b;printf (""enter the age between 20 to 59\n"");scanf (""%d"",&b);a=b/10;switch (a){case 2:printf (""age of the employee between 20 to 29\n"");break ;case 3:printf (""age of the employee between 30 to 39\n"");break ;case 4:printf (""age of the employee between 40 to 49\n"");break;case 5:printf (""age of the employee between 50 to 59\n"");break ;default:printf (""invalid age \n"");break;}getch ();}output as follows b= 35a=3 age of the employee between 30 to 39"
229,,,,"have you changed the kinematic viscosity?fluid velocity depends on viscosity and velocity is in the courant no calculation.due to high courant no. you are getting error.thanks,divyesh"
230,,,,"http://www.kicad-pcb.org/display/kicad/frequently+asked+questions#frequentlyaskedquestions-howcaniprintapcbmirrored?this is working link, above link conent error."
231,,,,could you please let us know the command which is showing these warning messages? 
232,,,,ipython is an interactive shell built with python. ipython provides a rich toolkit to help you make the most out of using python. ipython offers an enhanced read-eval-print loop (repl) environment particularly well adapted to scientific computing.
233,,,,"we have included only few thing in the tutorial, more can be self explored via internet. "
234,,,,"//assignment 3   calculate square#include <studio.h>int main(){int num, sqr;clrscr();printf (""enter a number\n"");scanf(""%d"",&num);sqr = num*num;printf("" square =%d"",sqr);return0;}                 2.  cpp program #include<iostream>using namespace std;int main();{int  num, sqr;cout<<""enter a no.:"";cin>> no.;sqr =num*num;cout<<""square is :""<<sqr;return 0;}"
235,,,,"please use double backslashes: example: loadtxt(""c:\\users\\groenera\\desktop\\file.csv"")"
236,,,,"#include<ionstream>using namespace std;int main(){count<<""/nname : vaibhav"";count<<""/ncity : nanded"";return 0;}output of the following program will be,  name : vaibhav  city : nanded"
237,,,,use !type filename.txt to view file contents. to load the file data into variables use loadtxt command.
238,,,,"gain of op-amp depends on the feedback resistor, so by changing the value of feedback resistor you can change the gain."
239,,,," //program to print the name and city.     #include<iostream> using namespace std; int main( ) {    cout<<""name: vishwas \n and city: nanded"";    return 0; }  output  */name: vishwas and city: nanded        /*   3.program to calculate the simple interest                                                                  #include<studio.h>      void main( )     {        float i, p, r, n;        clrscr();        printf(""enter the value of p, r, n"");        scanf(""%f%f%f"", &p,&n,&r);         i=p*r*n/100;         printf(""\n i=%f"", i );        getch();     }     output       /*       enter the value of p, r, n       50       60       60       i=2100.000000        */   4. program to calculate the square of the number     #include<studio.h>      void main ( )     {        int num, sqr;        clrscr( );        printf(""enter the value of num"");        scanf(""%d"", &num);        sqr=num*num;                printf(""\n sqr=%d"", sqr);         getch( );       }       output              /*        enter the value of number        3                 sqr=9          */  "
240,,,,"you can use the list.insert(position, element) methodfor examplel = [1, 2, 4]if i want to add an element after 2 then the insert command isl.insert(2, 3)new list becomesl = [1, 2, 3, 4]"
241,,,,"by default numpy loads the data using float data type. hence the data is in float. if you want to load data as integers you can pass dtype argument as int e.g loadtxt(""prime.txt"", dtype=int)"
242,,,,"to remove the ""pin connected to some other pins but no pin to drive it"" error please place a power flag, like mentioned in the tutorial.similar must be the case for transistor(q1)"
243,,,,"hello,please contact your state training manager for certificate related queries. here is the link http://process.spoken-tutorial.org/index.php/software-training#contacts_for_trainingthanks and regardspratik a kamble"
244,,,,"when you run the setup.exe file, it needs to have administrator rights. right click on setup.exe and select ""run as administrator""."
245,,,,"dear praveen hajare,haan, aap c++ marathi mein seekh sakte hain. niche diye gaye link ko copy kare aur apne computer par firefox ya chrome web browser par kholiye -http://spoken-tutorial.org/tutorial-search/?search_foss=c+and+cpp&search_language=marathinancyst team"
246,,,,"thanks for the information. actually i have already updated and its working fine.i have update the required dll file then then service pack 1 of window 7 updated manually from microsoft site then micrsoft visual c++ 2013, 2014, 2015-2019 updated."
247,,,,"""flag"" isused as a signal in a program. it can be used in just about any code, language independent. its purpose is to control the program's execution and is also used to debug the program in some cases."
248,,,,no need to define.
249,,,,1. are you using ubuntu 16.04 os?2. what is the exact error you are seeing on the terminal?
250,,,,please use !type or %pycat commands instead of %cat command
251,,,,"i am getting the following error while executing write.csv(captaincy,""newcaptaincy.csv"")error in file(file, ifelse(append, ""a"", ""w"")) :   cannot open the connectionin addition: warning message:in file(file, ifelse(append, ""a"", ""w"")) :  cannot open file 'newcaptaincy.csv': permission deniedthe solution to above error is as below:go to rhs of r studio window & locate files (the tabs mentioned there are files, plots, packages, help, viewer)click on filesby default the location of file directory is c:/windows/system32 followed by ...click the ... after the file nameit will show the file path where you want to save the file (i chose it as below)i first created a folder named my project on desktop, thereafter i chose the file path by clicking on ... on r studio as c:/users/desktop/my projectthereafter, click on settings icon just above ... & select set as working directorythereafter, execute the command  write.csv(captaincy,""newcaptaincy.csv"")orin console window type:setwd(""c:/users/desktop/my project"") & press enter & execute your command write.csv(captaincy,""newcaptaincy.csv"")the above solution worked for me, if anyone faces the same error, kindly give it a try.thank you...!!!"
252,,,,the cat command is used in linux and macos. for windows use !type primes.txt.make sure the file primes.txt is located in the current working directory. to check the current working directory type %pwd inside ipython terminal.
253,,,,please use the below link for installing r on windows.https://spoken-tutorial.org/watch/r/installing+r+and+rstudio+on+windows/english/
254,,,,"since you had defined i=0:12, the output is displaying an infinite loop. i have made the required changes in your code:i=0;j=0;while (j<=35)j=1+2*i;disp(j)i=i+1;if (j==25)thenbreakendend"
255,,,,"although the idea is good, there will be a question whether the answer is correct.  who will certify the correctness?"
256,,,,please go through the instruction in the below link:https://spoken-tutorial.org/media/videos/78/1215/resources/custom-unit-operation-using-scilab-additionalmaterial.pdf
257,,,,"dear r k yadav,in the series of spoken tutorials on libreoffice calc hosted on http://spoken-tutorial.org, we have not covered source file customisation topics.  you may visit https://www.libreoffice.org/ for more information on libreoffice calc.rgds,nancy varkeyproject managerspoken tutorial projectiit bombay"
258,,,,"doesn't moodle have a checkbox option that allows shuffling of the questions or the multiple choices? anyways, thank you nancy. kindly provide you email id.. i will ask a few staff members to make a few mcq's. if they do, i will mail them to you."
259,,,,"it's because the path for esim-workspace, where the projects you created are stored has a space in it.restart esim and when esim launches, select a different location (for which there is no space in the path) for esim-workspace using the browse button in the start-up window which appears."
260,,,,"yes, it is possible to include eps files directly.  one method is explained in this document: https://web.iit.edu/sites/web/files/departments/academic-affairs/graduate-academic-affairs/pdfs/figure-help1.pdf, but other methods may also be possible.previously, i used to produce .dvi files, and then .ps and then pdf.  if i am not mistaken, the quality of these files may be slightly inferior to those created in one command, pdflatex.  because of this, i always convert eps to pdf (there are standard utilities for this) and then use pdflatex."
261,,,,"please be sure to install oscad using:sudo bash ./installoscad.shi suggest, you visit our readme file before installing oscad:https://github.com/oscad/oscad-installer-linux#install"
262,,,,"if you get a timeout, or accidentally click second time on submit button you'll probably get this error. i advice you to please do the fresh installation."
263,,,,you can transfer .deb installation package file but installed package transfer or clone is not possible.
264,,,,please follow the installation sheet provided to you or the one available on the spoken-tutorial website which specifies all the steps required to install the necessary packages
265,,,,"file ""data.txt"" not avaiable in download section, can't show the execution of the file. ... cat primes.txt giving error says invalid syntaxi have copy and paste the text file in ... cat command not working. how to loadtext file. give file name including path as an example ..."
266,,,,"there is a missing close quote mark after %f. the correct command is mprintf('at iteration %i, result is:\nalpha=%f',33,0.535)"
267,,,,"for windows users1- download the code files from this tutorial video page2- save the file primes.txt at default path for ipthon3 files(where the graph charts were saved in previous tutorials by default)3- use command ""!type primes.txt""."
268,,,,"from version 5.x onwards, the flash algorithm is auto-selected as nested loops vle.  if you want to see the default flash algorithm or change it, you may click on setting button and go to thermodynamics tab."
269,,,,"hello rupesh,kindly go through ""https://spoken-tutorial.org/media/videos/85/arduino-installation-sheet-english.pdf""it will tell you how to install arduino ide on windows platform. once installed, you can perform all the steps shown in the videos."
270,,,,"the pointer that traverses the list when slicing or striding only moves from left to right, so when you say week_name[-1:-5], the interpreter tries to start from -1 (sun) and move towards the right to fetch more elements, however there are no more elements to the right of -1 hence it returns an empty list"
271,,,,"hi,watch on the latest hindi movies || latest hindi movies || "
272,,,,"        at 4.18 min in the video tutorial, steps to open the metadata tab are explained. the steps are same for qgis 3.12 on windows 10. i have checked and  i am able to see the metadata information on windows 10, qgis v3.12. it is possible that your map is not loaded properly on the qgis canvas. please reload the map and check again."
273,,,,in case witting the cat prime.txtyou can use the command%pycat prime.txt 
274,,,,"thanks to all for suggesting me the ways to solve it! the thing was these files opened in a web browser page instead. earlier i was trying to open it in my downloaded folder in ""this pc"" application software."
275,,,,"koha login problemdear sir madam,below type error has displayed at the time of koha login, please help ussoftware error:dbix::class::storage::dbi::catch {...} (): dbi connection failed: can't connect to local mysql server through socket '/var/run/mysqld/mysqld.sock' (2) at /usr/share/perl5/dbix/class/storage/dbi.pm line 1492. at /usr/share/koha/lib/koha/database.pm line 90\r\ncompilation failed in require at /usr/share/koha/intranet/cgi-bin/mainpage.pl line 32.\r\nbegin failed--compilation aborted at /usr/share/koha/intranet/cgi-bin/mainpage.pl line 32.plz sed me answer urgently..!"
276,,,,the ode function in scilab is of use here.
277,,,,"please be more specific.if performance is to be taken into consideration, read through these few moodle docs and forum posts - - https://docs.moodle.org/38/en/performance_recommendations- https://docs.moodle.org/38/en/performance_faq- https://moodle.org/mod/forum/discuss.php?d=356526- https://moodle.org/mod/forum/discuss.php?d=68579"
278,,,,also to note that i have just opened an example circuit and the error does not come when i click the same icon...
279,,,,"please elaborate error massage, so we can understand the actual issue "
280,,,,use!type<filename.txt>instead of cat.cat is a linux command
281,,,,if you are using ubuntu you can hold on ctrl+alt and simultaneously press t. and if you are using windows you can open command prompt
282,,,,there was an audio-video mismatch at this point.  the same has now been corrected.nancy
283,,,,use interpln() for interpolation and stdev() for standard deviation.
284,,,,
285,,,,"hi,i hope the following links help you out. if not get back to us and we will further assist you.1)http://fresh2refresh.com/c/c-storage-class-specifiers/2)http://cs-fundamentals.com/c-programming/storage-classes-in-c-and-storage-class-specifiers.php"
286,,,,"the logic of the code is incorrect. it is displaying all the integers as the number divided by 4 is not equal to zero(i/4==0).use the modulo operator which checks for the remainders and skips the integers with the remainder zero.code:clc;clear all;for i = 1:5:54        if (modulo(i,4)==0) then //checks for the remainder 0         continue         else         disp(i) endendoutput:    1.       6.       11.       21.       26.       31.       41.       46.       51"
287,,,,yes the two com pins are internally connected.
288,,,,"after closing the diary session (diary(0)), go to file location and rename like any other files."
289,,,,"#include<iostream>using namespace std;int main(){cout<<""/n name: pranav"";cout<<""/n city: nanded"";return 0;}output of the  program as follow name: pranavcity: nanded"
290,,,,"to install ipython you need to run the command pip install ipython from the command prompt(windows)/terminal(linux).if you still face any issue in installing or setting up ipython. you can use anaconda https://www.anaconda.com/distribution/.after installing anaconda, open the anaconda command prompt(windows)/open terminal (linux) and then type ipython --pylab.it should load all the modules required for the tutorial"
291,,,,"you should do scanf(""%s"", str) to read a string"
292,,,,please install gcc and gcc+ compiler as given in the below link :https://spoken-tutorial.org/media/videos/43/c-and-cpp-installation-sheet-english.pdf
293,,,,"pls try it first and if you are ""prompted"" to do anything else, post the issue here."
294,,,,arr[0]   base array element
295,,,,it is possible to upload multiple questions in moodle question bank. the questions need to be uploaded in some proprietary quiz formats or pre-defined text formats. you can read more about them on https://docs.moodle.org/36/en/import_questions. one of the popular plugins to import questions in moodle using ms word files is moodle2word plugin found on http://www.moodle2word.net/ and https://moodle.org/plugins/qformat_wordtable
296,,,,"dear gaurav,thank you for your suggestion. we will surely consider your feedback and may create a course on network simulator ns2 in the future.thank you.rahulquality reviewspoken tutorial project."
297,,,,"  assignment 3:  // c program to calculate simple interest on turbo c++   /* where      i= interest      p=principal      r=rate      t=time   */   #include<stdio.h>    void main()    {    float i, p, r, t;    clrscr();    printf(""enter the values"");    scanf(""%f%f%f"", &p,&r,&t);     i=(p*r*t)/100;    printf(""\n i=%f"", i);    getch();  }   /* output:     enter the values     p=20    r=1200    t=7 i=1680.000000  */  "
298,,,,both esim and kicad installed in c:\\fossee and python in c:\\python27
299,,,,please see last video it is about exception handling
300,,,,"the ""object pallet"" is moved to bottom of the canvas. please refer image: https://drive.google.com/file/d/1bj1iu27krjkptufv71dfycwq5c98iwnj/view?usp=sharing"
301,,,,"dear harish,pls note that you need not upload photo as it is not mandatory now.regards,training team"
302,,,,for every component the property package is defined. we have to see in which category the component falls. for example for hydrocarbons mainly we use peng-robinson. 
303,,,,"your variable ar is a list and not an array. shape function is callable with array only.also you have typed the wrong syntax. type ar= array([1,2,3,4,5,6,7,8]) and then type ar.shape. you will get the shape of the array."
304,,,,refer following link to bulk upload/import question in moodlehttps://docs.moodle.org/36/en/import_questions
305,,,,"yes. they both are different things. color variable is initialized two times with different values one with ""b"" and another with ""blue""."
306,,,,"subsetting depends upon the condition/filter which you want to apply. instead of naming each column you may also write their respective numbers. please go through all of the tutorials, subsetting is further explored using dplyr package in later tutorials."
307,,,,"another possible cause of this message is attempting to use character values as x or y data.in this case , captain names falls into the character values criteria. so use plot(factor(captaincy$names),captaincy$played)"
308,,,,"we have checked the structure of captaincy. it shows as given below:> str(captaincy)'data.frame': 6 obs. of  9 variables: $ names  : factor w/ 6 levels ""azhar"",""dravid"",..: 1 2 3 4 5 6 $ y      : int  2000 2008 2012 1965 2004 1980 $ played : int  47 25 45 40 49 47 $ won    : int  14 8 22 9 21 9 $ lost   : int  14 6 12 19 13 8 $ victory: num  0.298 0.32 0.489 0.225 0.429 ... $ drawn  : int  19 11 11 12 15 30 $ defeat : num  0.298 0.24 0.267 0.475 0.265 ... $ formats: int  2 2 3 1 2 2in the code file, we have only loaded the dataset. in case you are getting it as a character, you need not convert the name to the character. "
309,,,,please carry out the following changes in flowsheet:1. load the thermodynamic model parameters for uniquac from the thermodynamics option in the chemsep column.2. increase the number of iterations to 60 under solve options in chemsep column.your column should converge and work with the above modifications.
310,,,,"i guess clr block is by default first order transfer functiion. so, what cab the second order transfer function"
311,,,,use \\newline for going to a new line.  
312,,,,"if you understand basic usage of a++, ++a, a--, --a, that is sufficient.  anything which requires further understanding of precedence is confusing, and should be avoided in actual code, as it will lead to ununderstandable/unmaintainable/buggy code."
313,,,,"3,5,7,9,11,13,15,17,19,21,23,25"
314,,,,"it is a built-in dataset that comes with the r programming language. to view this, please use the following command:view(iris) "
315,,,,how can download 
316,,,,according to the documentation the output formats depend on the type of backend system being used for plotting. common formats like jpeg and png are available usually.see https://matplotlib.org/api/pyplot_api.html#matplotlib.pyplot.savefigyou can check which formats are available using;from matplotlib import pyplotplot.gcf().canvas.get_supported_filetypes()
317,,,,the comma separates values and the semicolon is a statement terminator which ensures that the output of the statement won't be displayed on the scilab console.
318,,,,"sorry, we missed reading this question earlier.to learn how to install and use moodle, please refer to the moodle spoken tutorials on this website.https://spoken-tutorial.org/tutorial-search/?search_foss=moodle+learning+management+system&search_language=englishif you prefer, you can learn it in many indian languages also.hindi, marathi, gujarati, malayalam, assamese, bengali, telugu.pls use the search drop-downs on this page - https://spoken-tutorial.org"
319,,,,"using shell, we can execute multiple commands in a single process. "
320,,,,"to compile, for example,     g++ talk.cpp -o outputto run,  output.exe"
321,,,,"sir i am using the same file which is provided below the player. i have pre-installed miktex 2.9, i have added package beamer by second method given in video-1. kindly give me the list of all packages required for beamer.tex to be run.i have also added the package namely filehook too."
322,,,,while creating the library you have to give name of you library. kindly see tutorial how to create library.
323,,,,"excel formats can be used by loading a package with the name ""readxl"" by using ""library(readxl)"" command. if the package is absent then use command ""install.packages(""readxl"")"" first, to install the package and then proceed with ""library(readxl)"". after loading the package, use the function ""read_excel()"" in order to read excel files."
324,,,,"hello,the .cir file contains the netlist of the schematic.the .cir.out file contains the netlist along with the control statements. "
325,,,,done by using %pycat command%pycat  <filename with correct path>
326,,,,"you need to store the plot command in a variable and use remove method to clear the specific plot.for e.g.x = linspace(0, 2*pi, 50)a = plot(x, sin(x))b = plot(x, cos(x))let's say we want to remove the sine plot stored in the variable a. just type a[0].remove(). this will remove the sine plot but the cosine plot is still present."
327,,,,"#include<iostream>using namespace std;int main(){cout<<""\nname : harshad"";cout<<""\ncity : nanded"":return 0;}and the o/p will be as follows name : harshadcity : nanded"
328,,,,please see the discussion here: http://forums.spoken-tutorial.org/question/105/initial-condition-in-network-analysis/
329,,,,"delighted to know that you are interested in knowing about a possibletest and a certificate in the spoken tutorial courses.our tests are offered ""only through colleges"" at a nominal cost.  we suggestthat you study using our course material during the covid-19 lock down.our tutorials are created for self learning.  please use the forum to ask yourdoubts, as explained in a video on the course page.on your return after your college reopens, tests can be arranged inyour colleges.  for more details, please contact your state representative athttps://process.spoken-tutorial.org/index.php/software-training#contacts_for_training- both phone numbers and email addresses are given in this link."
330,,,,it is possible that you are trying to use a path that does not exist on your pc. please use an existing path (the path used in the video is specific to linux systems and to that specific pc used in the video) you will have to specify a path depending on whether you are using a windows or linux machine and also make sure that the filepath/folders that you specify are already existing on your pc
331,,,,the spoken tutorial series on biogas plant covers all the steps in much detail.watch them in english - https://spoken-tutorial.org/tutorial-search/?search_foss=biogas+plant&search_language=englishwatch them in marathi - https://spoken-tutorial.org/tutorial-search/?search_foss=biogas+plant&search_language=marathi
332,,,,"by default google provide 15gb of free storage. if you want more, you can purchase from google."
333,,,,"hello sir/madam1. you have used even in line - 12 as a variable which is undeclared2. the line -13 and line 16 contains braek which should be replace by ""break""3. you used ""case o"" in place of ""case 0""(zero) in line 14"
334,,,,for generating code files link 7805 voltage regulator circuit. where to download the files. links is not available for that circuit. post the link for regulator.
335,,,,"to find the minimum element in a matrix a, type y = min(a)to find the indices of y, type [i1, i2] = find(a ==y)"
336,,,,"we have received your files, and we are reviewing them. please note that, we will send the registration link only after 12th july, which is the deadline given to all the participants to submit the assignments."
337,,,,"dear learner,delighted to know that you are interested in knowing about a possibletest and a certificate in the spoken tutorial courses.our tests are offered ""only through colleges"" at a nominal cost.  we suggestthat you study using our course material during the covid-19 lock down.our tutorials are created for self learning.  please use the forum to ask yourdoubts, as explained in a video on the course page.on your return after your college reopens, tests can be arranged inyour colleges.  for more details, please contact your state representative athttps://process.spoken-tutorial.org/index.php/software-training#contacts_for_training- both phone numbers and email addresses are given in this link.happy learning,spoken tutorial team"
338,,,,check  the memory limit  in php.inimemory_limit = 40m
339,,,,"sir, the video about koha is very informative and interactive.  i appreciate your effort.  i request you, can you create koha live dvd and release it in online. with regardsniranjana k"
340,,,,pls use the model builder for it. model builder has been explained in the oscad book.
341,,,,check this out:- https://docs.moodle.org/38/en/mariadbit says:there is a dedicated driver for mariadb. it is recommended to explicitly specify mariadb moodle driver in config.php:$cfg->dbtype    = 'mariadb'; $cfg->dblibrary = 'native';you should find this file at c:\moodle\server\moodle\config.phplet us know if there are any further queries.
342,,,,please download the latest version of installer here:https://esim.fossee.in/downloads
343,,,,"hello,there is no list all options. click on eeschema window, select power option on the right panel of eeschema windowand locate gnd. alternatively,  choose ""place power port"" on the right panel of eeschema to place gnd."
344,,,,thank you. problem resolved
345,,,,"yes, it is same."
346,,,,"write.csv uses ""."" for the decimal point and a comma for the separator.write.csv2 uses a comma for the decimal point and a semicolon for the separator, the excel convention for csv files in some western european locales."
347,,,,previously answered here -- https://forums.spoken-tutorial.org/question/2477/following-error-database-connection-failed-while-installing-moodle-in-windows-10-how-to-fix/- https://forums.spoken-tutorial.org/question/2336/getting-database-connection-failed/check this forum for issues related to this:- https://forums.spoken-tutorial.org/filter/moodle-learning-management-system/installing-moodle-on-local-server/?o=-6&qid=2528
348,,,,"dear swapnil,try running ipython from the terminal (cmd prompt if in windows) & let us know if the problem still persists.if you can, please attach the screenshot of whatever error you get. that will be lot easier to trace back."
349,,,,"hi,please go to the cog icon on the top right of the course where you want to import the question bankselect 'more'scroll down to 'questions' in course administration tabin that you will find import.  a variety of formats are available.  choose any and import.all the best.warm regards,jsp"
350,,,,"if ngspice takes more than 2 seconds to generate the simulation plots, this error occurs. if ngspice plots are appearing , then python plots are not really required"
351,,,,pip install numpy
352,,,,"hi srikargyes. chtmultiregionsimplefoam can be used for steadystate conjugate heat transfer analysis.regards,sathish"
353,,,,there is no limit to the number of questions you can add to a moodle quiz
354,,,,click on the window and drag it till you find out the required button on screen
355,,,,https://forums.fossee.in/question/1171/ please refer to the answer of this question
356,,,,you have not selected the component from spice library. hence it is not simulating. to know more about how to add library please look into oscad spoken tutorial.
357,,,,you have to unzip the cd content folder first.  only then will the index.html file work properly in firefox browser.
358,,,,dtype is nothing but datatype like int and float. you can pass it as parameter in most functions.
359,,,,"that is the correct output. for operating on inconsistent matrices, you are getting that output. the example is meant to motivate that understanding. see the sizes of both matrices to get a better idea."
360,,,,no. please use scilab 5.5.2 for this workshop. 
361,,,,"please modify your code as given below:--------------------------------------------------------------------------------------------------------------------------------------fib <- function(n){  x <- vector(mode=""numeric"", length=n)  x[1] <- 1  x[2] <- 1  for (i in 3:n) {    x[i] <- x[i - 2] + x[i - 1]  }  return(x)}fib(5)-------------------------------------------------------------------------------------------------------------------------------------alternatively, you can use the code given below: -------------------------------------------------------------------------------------------------------------------------------------n <- as.integer(readline(""enter the number ""))fibonacci <- function(n) {  num1 <- 0  num2 <- 1  for(i in 1:n) {    print(num2)    num3 <- num2 +num1    num1 <- num2    num2 <- num3  }}fibonacci(n)-------------------------------------------------------------------------------------------------------------------------------------"
362,,,,"the error:""c:\\program files (x86)\\microsoft visual studio 14.0\\vc\\vcvarsall.bat"" is not recognized as an internal or external commandmeans that visual studio native tools command prompt (compatible with your version of visual studio) is not installed.please install the same. rerunning the visual studio installer will give you this option."
363,,,,"delighted to know that you are interested in knowing about a possibletest and a certificate in the spoken tutorial courses.our tests are offered ""only through colleges"" at a nominal cost.  we suggestthat you study using our course material during the covid-19 lock down.our tutorials are created for self learning.  please use the forum to ask yourdoubts, as explained in a video on the course page.on your return after your college reopens, tests can be arranged inyour colleges.  for more details, please contact your state representative athttps://process.spoken-tutorial.org/index.php/software-training#contacts_for_training- both phone numbers and email addresses are given in this link.happy learning,spoken tutorial team"
364,,,,but deosnt 'b' represent blue?
365,,,,"//assignment 2//my first c++ program #include<iostream>using namespace std;int main () {cout<<""name=kirtana\n"";cout <<""city=nanded\n"";return 0;}output of this following program  will be name=kirtana city= nanded "
366,,,,"dear avinash,your question is not clear.  for which role is your user account request pending?to access freeeda course, you do not require any login.  go to the home page.  simply select the ""oscad"" course under ""select foss category"" and the preferred language.  then click on ""submit"" button.  the list of tutorials on ""oscad"" a.k.a. ""freeeda"" will be displayed.rgds,nancy"
367,,,,"got it thanks, it was something visual studio problem."
368,,,,"scanf(""%d"",&n);fflush(stdin);printf(""enter a string"");after entering number n when you pressed enter key it is taken as string input so you are not able to enter string value on the output screen.the solution: to clean the standard input stream use fflush(stdin)."
369,,,,thanks mam !
370,,,,"dear praveen, which version of ubuntu server are you using pl.sudo /etc/init.d/apache2 stop is used specifically in pre ubuntu linux version ubuntu 15.04.  for ubuntu 15.04+ please use the following commands## start command ##systemctl start apache2.service## stop command ##systemctl stop apache2.service## restart command ##systemctl restart apache2.servicetrust it helps.sharing information about the environment (os and its version, server version, php, database version) helps in understanding your requirement and will help easier trouble shooting.all the best.with regards,jsp"
371,,,,"please check your syntax. the quotes in your command are not grammatical correct from r programming point of view. please try typing this: names <- c(""a"", ""b"", ""c"", ""d"")"
372,,,,"hi team, i have successfully install two instance of moodle in my single local server , but after sometime my mysql server crash. i try to resolve it but nothing happen. please help"
373,,,,"hello gaurav_supal, thank you very much for your support.both inverting and non-inverting amplifier circuits are working fine now."
374,,,,this happens because the plot/graph window is being closed before running the title command. please ensure that you are not closing the plot/graph display window.for now you can run the plot command again to plot the graph and then run the title command after the plot/graph window has opened up.
