,question_id,parsed_title,parsed_body_ques,parsed_body_ans,category,tutorial,keyword
3912,1376.0,how to get command details in python 3.7.3 shell,i got the following syntax error whiling using the command: >>> round?syntaxerror: invalid syntaxplease guide me,please enter ipython --pylab command and enter in the ipython shell and then use the above command. question mark works with ipython terminal and not the python shell. if you are in python shell then type help(round).,Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3913,1376.0,how to get command details in python 3.7.3 shell,i got the following syntax error whiling using the command: >>> round?syntaxerror: invalid syntaxplease guide me,you seem to be using the simple python insterpreter or idle environmentplease follow the instructions in the video exactly as specified.open an ipython console by opening a terminal followed by the command :ipython --pylabthen the python functions and commands shown in the video will work as expected,Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3914,1376.0,how to get command details in python 3.7.3 shell,i got the following syntax error whiling using the command: >>> round?syntaxerror: invalid syntaxplease guide me,thanks,Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3915,1391.0,download ipython,please provide path to download ipython for windows 10,you don't need path to install ipython. it will detect automatically.,Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3916,1391.0,download ipython,please provide path to download ipython for windows 10,i couldn't find the download link for ipython of windows 10 please help,Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3917,1397.0,ipython,what is difference between ipython and python?,"ipython is an interpreter for python, whereas python is a general purpose programming language.",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3918,1425.0,"in scilab the linspace is shown in undefined command. how to correct the error,,",sir i have one problem in scilab. the linspace command is not define .. how to correct the error..,"respected sir,linspace is function of matplotlib library, and this library works in python ",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3919,1425.0,"in scilab the linspace is shown in undefined command. how to correct the error,,",sir i have one problem in scilab. the linspace command is not define .. how to correct the error..,what is the command to clear the screen in python?difference between python and ipython,Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3920,1425.0,"in scilab the linspace is shown in undefined command. how to correct the error,,",sir i have one problem in scilab. the linspace command is not define .. how to correct the error..,what is themeaning of python 3.4.3?,Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3921,1425.0,"in scilab the linspace is shown in undefined command. how to correct the error,,",sir i have one problem in scilab. the linspace command is not define .. how to correct the error..,what is the meaning of python 3.4.3?,Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3923,1425.0,"in scilab the linspace is shown in undefined command. how to correct the error,,",sir i have one problem in scilab. the linspace command is not define .. how to correct the error..,it's the 3rd release of 3.4 version,Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3924,1433.0,how to save the command in file,"how can i save my program in ipython in a file that can be run later?in which language python is designed?for teaching class 12 student which python version (python 3.5 idle, anconda,spyder,ipython) should i use that support django matlab, sql interfacing ,that can be run completely in offline mode in windows based os.","in further videos you will learn how to save the commands using %save command.python is written in c with default/traditional implementation as cpython.use python 3.5. you can use any of these (anaconda, spyder, ipython) for basic python programs.",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3925,1471.0,images in array is not worrking,"good evening ,                    video  20 : image manipulation using arrays - english. how  to apply images in python?                                                               thank you","firstly make sure all the images are present in current working directory.then use ""imread"" command to read the image file into an array.",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3926,1478.0,how to install ipython,ipython is not available in python.org. kindly give the link for installing ipython. ,ipython is not available as a separate installer. please use the command pip install ipython,Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3927,1509.0,python,how to change current working directory  so that files saved in my folder run directly,use cd command,Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3928,1516.0,how do i access a variable inside to_tsquery,i need to execute a postgresql command in python where to_tsquery is the input taken from the user,you can use the psycopg module to connect to your postgresql db and then run any queries. please check https://pynative.com/python-postgresql-tutorial/,Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3929,1759.0,ipython,what is difference between ipython and python?,python is the programming language and ipython is the interactive python interpreter used when programming with the python language.,Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3930,1760.0,ipython,what are the applications of ipython,"ipython can interactively manage parallel computing clusters using asynchronous status callbacks and/or mpi. ipython can also be used as a system shell replacement. its default behavior is largely similar to unix shells, but it allows customization and the flexibility of executing code in a live python environment.",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3932,1858.0,installation problem reg,"dear prof,i have followed all the instructions given in the installation guide. finally, when i am using %pylab, command window shows the following linesusing matplotlib  backend:tkagg populating the interactive namespace from numphy and matplotlib.i dont know what it means,could you help me",it is just a message. no need to worry about it. everything should work fine.thanks.,Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3933,1865.0,ipython,"how to install ipython when we already downloaded python 3.5.2 version?although by writing instruction ""pip install ipython"", ipython is not installing ( i am getting errors )","you have to type the <span style=""background-color: rgb(250, 250, 250);"">pip install ipython in the command prompt (windows) / terminal (linux) and not inside python shell.</span><span style=""background-color: rgb(250, 250, 250);"">if you still face any issues you can use anaconda </span><a href=""https://www.anaconda.com/products/individual"" style=""background-color: rgb(255, 255, 255);"">https://www.anaconda.com/products/individual</a>.",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3934,1983.0,pythan installation,can i use anacoda navigator through that  lunch jupter notebook,"yes, you can use jupyter notebook via anaconda navigator.",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3935,1986.0,installation,"hello team members,i am new to this portal and enabled python 3.4.3.will i get any certificate after completion of this course. in the course outline, u specified one link , in that i installed python 3.6.8. but if i type python -- version in cmd prompt it shows error message. in allprograms-> python3.4.3(cmd prompt), idethen how to i install ipython. plz guide me","delighted to know that you are interested in knowing about a possible  test and a certificate in the spoken tutorial courses.  our tests are offered ""only through colleges"" at a nominal cost.  we suggest  that you study using our course material during the covid-19 lock down.   our tutorials are created for self learning.  please use the forum to ask your  doubts, as explained in a video on the course page.    on your return after your college reopens, tests can be arranged in your colleges.   for more details, please contact your state representative at  https://process.spoken-tutorial.org/index.php/software-training#contacts_for_training - both phone numbers and email addresses are given in this link.",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3936,2009.0,question on python,"it is written in the instruction sheet that we can find the ' code files ' below the player, but i cannot see any code files.are there any other commands we need to practice, if yes what are those ??kindly help me in this regard.","code files are available whenever it is provided for practise for particular tutorials.  it may not be available for each and every one of the tutorials.when you watch a tutorial, always practise whatever is demonstrated inside the video.  don't just watch - practise side-by-side.  do the assignments given in the tutorial.  this is to improve your coding skills.",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3937,2017.0,use of doccumentetion,"sir, if i am typing return? it is showing some message and i am not getting its documentation.will you explain me why it is happening so. ",whate document for detiles tyiping method changed for you,Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3938,2017.0,use of doccumentetion,"sir, if i am typing return? it is showing some message and i am not getting its documentation.will you explain me why it is happening so. ","hello, if you want to view the information on return statement, call help() in ipython. after you see >help prompt in terminal you type return there and hit enter. you will see the information on return statement.thanks.",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3939,2144.0,commands,dear sirwill commands for windows will be different than ubuntu ,python commands will not be different. certain system commands will be different due to os based differences. ,Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3940,2300.0,python version,"respected sir, the course name is python 3.4.3 whereas the downloaded version is 3.6.8also, no guidelines are provided to download ipython in the installation sheet. kindly reply. thank you.","to install ipython you need to run the command pip install ipython from the command prompt(windows)/terminal(linux).if you still face any issue in installing or setting up ipython. you can use anaconda https://www.anaconda.com/distribution/.after installing anaconda, open the anaconda command prompt(windows)/open terminal (linux) and then type ipython --pylab.it should load all the modules required for the tutorial",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3941,2411.0,how to know that i'm enrolled to a particular course,"hello! i dont understand how to start working on this python course i dont know if im enrolled in that course, can anyone plz tell me how to start working on my course. i had make my account and just search for python, started watching videos, is that it? i want to get a certificate by this.","yes. watch the videos, do the exercises and quizzes, complete the course and that's it. cheers.",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3942,2429.0,saving the practice session,how to save the practice session?,you can save the code that you have typed in the ipython session using the %save magic commandlink: https://ipython.readthedocs.io/en/stable/interactive/magics.html#magic-savein case you are looking for the downloadable videos of the sessions/videos please refer this doc https://process.spoken-tutorial.org/images/1/1b/download-tutorials.pdf,Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3943,2482.0,solution of excercise 3,dear sir/mamassignment-31. check the output of a)round(2.48) the ans is stated as 2.0. but the syntax tells returns a int.kindly clarify,try this int(round(2.48)),Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3944,2492.0,query about certificate,"sir, how do i know i am enrolled in this course and how do i get certificate after completition of this course?","dear learner,delighted to know that you are interested in knowing about a possibletest and a certificate in the spoken tutorial courses.our tests are offered ""only through colleges"" at a nominal cost.  we suggestthat you study using our course material during the covid-19 lock down.our tutorials are created for self learning.  please use the forum to ask yourdoubts, as explained in a video on the course page.on your return after your college reopens, tests can be arranged inyour colleges.  for more details, please contact your state representative athttps://process.spoken-tutorial.org/index.php/software-training#contacts_for_training- both phone numbers and email addresses are given in this link.happy learning,spoken tutorial team",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3945,2569.0,installation of python on mac,dear sircan i do all this installing python using anaconda ??also version 3.4.3 is not available so can download another version??waiting for your reply thanks,yes. you can use anaconda.,Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3946,2639.0,sir can u please tell the difference between python and ipython,sir can u please tell the difference between python and ipython,"<a href=""https://plotly.com/python/ipython-vs-python/"" target="""" title=""python vs ipython"">python vs ipython</a>",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3947,2667.0,how to submit the assignment,how to submit the assignment,"assignments in the tutorial are for self-practice purpose.in the tutorial, you will find the solution as well, so that you can verify your solution.so submission is not required.",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3948,2684.0,assignment,how to submmit the assignment,assignments are only for practice. no need to submit.,Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3949,2684.0,assignment,how to submmit the assignment,"in our machine plyr package is not installed. i have installed it using submenu ""install packages"" from ""tools"" menu.after installation i have loaded it using library commandlibrary(plyr)",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3950,2746.0,query about certicate,"sir, can school students get certificate?","yes.delighted to know that you are interested in knowing about a possibletest and a certificate in the spoken tutorial courses.our tests are offered ""only through colleges or schools"" at a nominal cost.  we suggestthat you study using our course material during the covid-19 lock down.our tutorials are created for self learning.  please use the forum to ask yourdoubts, as explained in a video on the course page.on your return after your college reopens, tests can be arranged inyour colleges.  for more details, please contact your state representative athttps://process.spoken-tutorial.org/index.php/software-training#contacts_for_training- both phone numbers and email addresses are given in this link.",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3951,2750.0,unable to cancel the command,"i'm pressing ctrl+c key but unable to interrupt the command , i'm using anaconda navigator for ipython",try hitting ctrl+c twice.,Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3952,2791.0,final exam,what is the question pattern for the final exam?,"delighted to know that you are interested in knowing about a possibletest and a certificate in the spoken tutorial courses.our tests are offered ""only through colleges"" at a nominal cost.  we suggestthat you study using our course material during the covid-19 lock down.our tutorials are created for self learning.  please use the forum to ask yourdoubts, as explained in a video on the course page.on your return after your college reopens, tests can be arranged inyour colleges.  for more details, please contact your state representative athttps://process.spoken-tutorial.org/index.php/software-training#contacts_for_training- both phone numbers and email addresses are given in this link.",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3953,2797.0,iphthon in windows,how to use iphython and its commands in windows,"most of the magic commands remain the same, some commands like cat may not work, you can use !type filename commands to view contents of the file instead.some native commands may be different depending on which os you use.please let us know any specific commands that do not seem to work and we will be able to answer your query better.",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3954,3058.0,installation in cygwin,"i am using cygwin in windows 10 for shell environment. i installed python 3.4 package during cygwin installation.but i am unable to install numpy, matplotlib and ipython in cygwin.any suggestion is appreciated","hello ensure that python is available in your system path variable. you can check this by ensuring that the python command runs properly and gives you the interpreter screen.also, make sure you are using a standard package manager like pip to install and uninstall python packages.",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3955,3061.0,ipythone,i have installed python 3.5.2 but i dont know how to get ipython 5.1.0when i press ctrl+alt+t it shows nothing and in pyhton when pressing ipthon3 at prompt and enter it says 'ipython3' is not defined.,"you can install the ipython package system wide by using the system package manager, for example for ubuntu you can use the command:sudo apt-get install -y ipython3orsudo apt-get install -y ipythonin case you are already using pip to install python packages, you can also run pip install ipython",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3956,3118.0,not able open ipython console,"after installing ipython by using 'python -m pip install ipython' in cmd window as per instructions,when trying to run ipython3 it's not giving the same or similar output as installation sheet and even not opening ipython console. please help.",please check the version of python installed.please try running ipython command without 3please send us a screenshot or a traceback report for the error that shows up when you execute the command.,Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3957,3222.0,run ipython3,"please sir after installing ipython by using 'python -m pip install ipython' in cmd window as per instructions,when trying to run ipython3 it's not giving the same or similar output as installation sheet and even not opening ipython console. please help","please check the version of python that is installed.please check by running ipython without the 3 in the system, use the ipython command onlyplease add any screenshots or error reports here",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3958,3225.0,python,write a program to prompt the user for hours and rate per hour using input to compute gross pay. pay should be the normal rate for hours up to 40 and time-and-a-half for the hourly rate for all hours worked above 40 hours. put the logic to do the computation of pay in a function called computepay() and use the function to do the computation. the function should return a value. use 45 hours and a rate of 10.50 per hour to test the program (the pay should be 498.75). you should use input to read a string and float() to convert the string to a number. do not worry about error checking the user input unless you want to - you can assume the user types numbers properly. do not name your variable sum or use the sum() function,please do not paste coding questions here. please ask any specific questions regarding the spoken tutorial.,Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3959,3250.0,how to download python and i python,hello pls guide me for 64 bit operating system system which python version should i download when i downloaded 64 bit it does not work pls help me which to download and i also cant find i python so i couldnt start pls help me with these thanks,"hello, in case you have installed python standalone on windows, you can check your start screen/bar for python or it's interpreter idlein case your system is still throwing errors and you are unable to run it please install the anaconda python environment for windows",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
3960,3295.0,getting started,"first if all i can't locate any code files.and how is ipython differnt from python?what window shoud we open to start the modules.also, why are different paths given for differnt level of modules.i cant locate those paths.whats pylab interactive shell and python interactive shell?where do i find them. i dont understand any of those terms.please help","code files are located in the code files section of the relevant module/video lesson. if that lesson needs any files to be used, they will be provided in the code files section in the bottom right menu , please see https://spoken-tutorial.org/watch/python+3.4.3/loading+data+from+files/english/ipython is an interactive interpreter shell, it is more feature loaded than the regular python interpreter shell, both have the same function, ipython just gives you a better more featurefull interface (analogous to comparison between notepad and word)which paths and modules? python modules have different paths based on how they have been built and developed.pylab is a package to import all math related packages. there is no pylab interactive shell, you run pylab inside python interpreter",Python-3.4.3,Getting-started-with-IPython,"python, ipython 3.4.3, round function, tab completion function, print command, typing error, spoken tutorial, video tutorial"
5082,1314.0,import numpy and matplotlab in ipython3,"hello madam/sir,i am unable to import numpy and matplotlab in ipython3 .please solve my problem",have you run the command python -m pip install matplotlib?please attach a screenshot.,Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
5083,1314.0,import numpy and matplotlab in ipython3,"hello madam/sir,i am unable to import numpy and matplotlab in ipython3 .please solve my problem",please install the package available in this link in order to resolve this issue:link to package,Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
5084,1314.0,import numpy and matplotlab in ipython3,"hello madam/sir,i am unable to import numpy and matplotlab in ipython3 .please solve my problem",python -m pip install ipython3 giving error in command prompt collecting python3error could not find a version that  satisfies the required ipython3 version,Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
5085,1316.0,plot() function error,throwing error for x value not found,"please mention the tutorial title, number and the video timstamp. ",Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
5086,1316.0,plot() function error,throwing error for x value not found,"please answer this , x is not definedin [19]: plot (sin(x)*sin(x))/x---------------------------------------------------------------------------typeerror                                 traceback (most recent call last)<ipython-input-19-a04439361098> in <module>----> 1 plot (sin(x)*sin(x))/xtypeerror: unsupported operand type(s) for /: 'line2d' and 'float'in [20]: plot (sin(x)*sin(x))out[20]: [<matplotlib.lines.line2d at 0x468e790>]in [21]:",Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
5087,1316.0,plot() function error,throwing error for x value not found,x valu u hav to define using linspac(),Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
5088,1316.0,plot() function error,throwing error for x value not found,you have to define x by using linspace also y axis if this one is x axis vice-versa.,Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
5089,1318.0,import matplotlib error,i installed matplotlib but it shows version related message and matplotlib is not import.,"kindly send us a screenshot of the error, please ensure that you upload the screenshot image to www.imgur.com and please past the link to the image in comments here.you can also simply copy paste the error that is displayed on the pc/system.",Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
5090,1319.0,plot (sin(x)*sin(x)) /x.,"hi , in this question we have only one parameter. by using one parameter how can we plot the given statement. and the '/x' is after the plot argument statement. so how will it works? can you explain","the given statement is the function that is supposed to be plotted, y = f(x) so the equation provided is itself the y parameter.",Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
5091,1319.0,plot (sin(x)*sin(x)) /x.,"hi , in this question we have only one parameter. by using one parameter how can we plot the given statement. and the '/x' is after the plot argument statement. so how will it works? can you explain",please paste the complete traceback along with the command that you used,Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
5092,1335.0,how to save a graph in windows ??,"there are two ways i tried 1) savefig('c://windows//sytem32'), i tried and executed successfully. but when i tried using as per our regular path like as follows2) savefig('c:\\windows\\system32') it doesnt work.  can we use path like second method or not???",we expect both to work. kindly check whether the path given is proper.,Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
5093,1343.0,python workshop,"microsoft windows [version 10.0.10240](c) 2015 microsoft corporation. all rights reserved.c:\\users\\admin>ipython3python 3.7.3 (v3.7.3:ef4ec6ed12, mar 25 2019, 21:26:53) [msc v.1916 32 bit (intel)]type 'copyright', 'credits' or 'license' for more informationipython 7.5.0 -- an enhanced interactive python. type '?' for help.in [1]:  numpy, matplotlib---------------------------------------------------------------------------nameerror                                 traceback (most recent call last)<ipython-input-1-78cad429aec3> in <module>----> 1 numpy, matplotlibnameerror: name 'numpy' is not definedin [2]: import numpyin [3]: import matplotlib---------------------------------------------------------------------------importerror                               traceback (most recent call last)<ipython-input-3-0484cd13f94d> in <module>----> 1 import matplotlibc:\\users\\admin\\appdata\\local\\programs\\python\\python37-32\\lib\\site-packages\\matplotlib\\__init__.py in <module>    198    199--> 200 _check_versions()    201    202c:\\users\\admin\\appdata\\local\\programs\\python\\python37-32\\lib\\site-packages\\matplotlib\\__init__.py in _check_versions()    192             (""pyparsing"", ""2.0.1""),    193     ]:--> 194         module = importlib.import_module(modname)    195         if looseversion(module.__version__) < minver:    196             raise importerror(""matplotlib requires {}>={}; you have {}""c:\\users\\admin\\appdata\\local\\programs\\python\\python37-32\\lib\\importlib\\__init__.py in import_module(name, package)    125                 break    126             level += 1--> 127     return _bootstrap._gcd_import(name[level:], package, level)    128    129importerror: dll load failed: the specified module could not be found.in [4]: import numpy, matplotlib---------------------------------------------------------------------------importerror                               traceback (most recent call last)<ipython-input-4-1ba94c9f5666> in <module>----> 1 import numpy, matplotlibc:\\users\\admin\\appdata\\local\\programs\\python\\python37-32\\lib\\site-packages\\matplotlib\\__init__.py in <module>    198    199--> 200 _check_versions()    201    202c:\\users\\admin\\appdata\\local\\programs\\python\\python37-32\\lib\\site-packages\\matplotlib\\__init__.py in _check_versions()    192             (""pyparsing"", ""2.0.1""),    193     ]:--> 194         module = importlib.import_module(modname)    195         if looseversion(module.__version__) < minver:    196             raise importerror(""matplotlib requires {}>={}; you have {}""c:\\users\\admin\\appdata\\local\\programs\\python\\python37-32\\lib\\importlib\\__init__.py in import_module(name, package)    125                 break    126             level += 1--> 127     return _bootstrap._gcd_import(name[level:], package, level)    128    129importerror: dll load failed: the specified module could not be found.in [5]: import numpy",installing the visual c++ redistributable for visual studio 2015 from the link given below may solve the problem.https://www.microsoft.com/en-us/download/details.aspx?id=48145please let us know if you face any problem.thanks.,Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
5094,1366.0,plot (sin(x)*sin(x))/x,question not executed??x is not defined??,"the correct command is plot( sin(x) * sin(x) / x )you have not closed the round brackets that are used for the plot function. you need to be careful when using brackets, command/function names.",Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
5095,1366.0,plot (sin(x)*sin(x))/x,question not executed??x is not defined??,also set the value of x before executing the above command. ,Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
5096,1368.0,plot commands not working in ipython,dear sir/madammatplot commands are not  working in ipython ,either you have not installed matplotlib or this might be due to something else. can you please post the detailed error message you are getting. ,Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
5097,1368.0,plot commands not working in ipython,dear sir/madammatplot commands are not  working in ipython ,"please let us know the command you used, the error that shows up along with the complete traceback. as it is nearly impossible to figure out the exact cause of the issue without having these details.",Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
5098,1370.0,python,is working on ipython is same as working on python 3.5?how to use pylab (plot library ) on idle python 3.5,"unfortunately, pylab cannot be used with idle. in case you wish to use idle, you will have to import matplotlib, numpy and related packages manually using import functionality.when you work in an ipython console, you are already using python 3.5 directly. ipython console is just an interpreter environment to help you run commands and check the output (along with other features that you may not find in idle and simple python interpreters)",Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
5099,1380.0,diffrent colour arguments,"what are the different colors we can use such as green,blue and many more.i wrote  ",the following color abbreviations are supported:=============    ===============================character        color=============    ===============================``'b'``          blue``'g'``          green``'r'``          red``'c'``          cyan``'m'``          magenta``'y'``          yellow``'k'``          black``'w'``          white=============    ===============================,Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
5100,1381.0,%pylab function not working,%pylab function not working.. tried install numpy and also download c++ visual c as suggested in the installation sheet the prob still persists,please post the error message you are getting.,Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
5101,1381.0,%pylab function not working,%pylab function not working.. tried install numpy and also download c++ visual c as suggested in the installation sheet the prob still persists,how to install numpy?,Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
5102,1390.0,related plot,"applied the commandt=linspace(-pi,pi,100)t=plot(t,sin(t)in this code, i drawn a plot, so i want to know about the ""y axes "" values.","your y axes values are the second argument in your plot command, so your y axes function is the sin(t)",Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
5103,1392.0,value of x,what is the value of x should setif i assign same as t it shows error in cmd window ,it is a exercise question. please initialize x with some value using linspace() and try again. ,Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
5104,1392.0,value of x,what is the value of x should setif i assign same as t it shows error in cmd window ,"x we needs to set lie linspace(1,2,30)then use x",Python-3.4.3,Using-plot-command-interactively,"python, ipython 3.4.3, plot , pylab, matplotlib, spoken tutorial, video tutorial"
